strain	accession	genbank_accession_rev	strain_original	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	authors	institution
OQ330988	OQ330988	OQ330988.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00382/2022	2022-10-14	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al		IIb	hMPXV-1	B.1.2	0.9888392517582868	654.0	601.0	1.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
ON676708	ON676708	ON676708.1	MPXV_USA_2021_MD	2021-11-XX	North America	USA	Maryland		Homo sapiens	2022-06-03		Gigante et al		IIb	hMPXV-1	A.1.1	0.999964504662566	7.0	597.0	0.0	good	good	good	good	good		False	Gigante,C.M., Myers,R., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D., Li,Y.	Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
OP890553	OP890553	OP890553.1	MPXV/Human/USA/CA-LACPHL-MA00325/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al		IIb	hMPXV-1	B.1.17	0.9885907843962496	1144.0	602.0	0.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OP837470	OP837470	OP837470.1	VAC_INS_MPX_1050_E	2022-10-26	South America	Colombia	Valle del Cauca		Homo sapiens	2022-11-16		Laiton-Donato et al		IIb	hMPXV-1	B.1.16	0.9897519890065868	1897.0	603.0	0.0	good	good	good	good	good		False	Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica
OQ148463	OQ148463	OQ148463.1	LBMB-UTP_MP-004_TOL	2022-09-21	South America	Colombia	Tolima		Homo sapiens	2022-12-30		Orjuela et al		IIb	hMPXV-1	B.1.6	0.929856142468143	11646.0	562.0	0.0	mediocre	good	good	good	good		False	Orjuela,M., Tabares,F.A., Anacona,J.D., Lopez,P.A., Zuluaga-Velez,A., Sepulveda-Arias,J.C.	Universidad Tecnologica de Pereira, Laboratorio de Biologia Molecular y Biotecnologia / Facultad de ciencias de la salud
OP837474	OP837474	OP837474.1	DC_INS_MPX_0996_L	2022-09-19	South America	Colombia	Cundinamarca	Bogota (Cundinamarca)	Homo sapiens	2022-11-16		Laiton-Donato et al		IIb	hMPXV-1	B.1.6	0.978773788214534	2848.0	594.0	0.0	good	good	good	good	good		False	Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica
OP819952	OP819952	OP819952.1	VAC_INS_MPX_0958_L	2022-10-13	South America	Colombia	Valle del Cauca		Homo sapiens	2022-11-14		Laiton-Donato et al		IIb	hMPXV-1	B.1	0.9979615534787966	278.0	607.0	0.0	good	good	good	good	good		False	Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica
OQ330973	OQ330973	OQ330973.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00394/2022	2022-12-23	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al		IIb	hMPXV-1	B.1	0.9936260515493714	475.0	602.0	0.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OP324524	OP324524	OP324524.1	Monkeypox/PT0214/2022	2022-06-24	Europe	Portugal			Homo sapiens	2022-08-29		Isidro et al		IIb	hMPXV-1	B.1	0.9875309950357236	1473.0	597.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases
OP459217	OP459217	OP459217.1	ANT-LDSP-ANT-MPX-23654-O	2022-08-30	South America	Colombia	Antioquia	Medellin	Homo sapiens	2022-09-19		Betancur et al		IIb	hMPXV-1	B.1.10	0.9133355982739124	16991.0	536.0	0.0	mediocre	good	good	good	good		False	Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.	Laboratorio Departamental de Salud Publica de Antioquia
OP959061	OP959061	OP959061.1	BOL-UNIMOL-MPX-293613-L	2022-10-11	South America	Colombia	Bolivar CO		Homo sapiens	2022-12-06		Loyola et al		IIb	hMPXV-1	B.1.2	0.950387659792403	7597.0	572.0	0.0	mediocre	good	good	good	good		False	Loyola,S., Fernandez-Ruiz,M., Torres-Pacheco,J., Franco-Munoz,C., Laiton-Donato,K., Ruiz-Moreno,H., Mercado-Reyes,M., Gomez-Camargo,D.	Universidad de Cartagena, Laboratorio de Investigacion Molecular (UNIMOL)
OP743997	OP743997	OP743997.1	MpxV/human/USA/Unknown-UW-105322/2022	2022-10-XX	North America	USA	USA		Homo sapiens	2022-10-31	SRR22094395	Sereewit et al		IIb	hMPXV-1	B.1	0.9999949292375094	1.0	608.0	0.0	good	good	good	good	good		False	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine
OQ148472	OQ148472	OQ148472.1	LBMB-UTP_MP-019_VAC	2022-11-11	South America	Colombia	Valle del Cauca		Homo sapiens	2022-12-30		Tabares et al		IIb	hMPXV-1	B.1.10	0.9431466109558896	9492.0	574.0	0.0	mediocre	good	good	good	good		False	Tabares,F.A., Anacona,J.D., Lopez,P.A., Orjuela,M., Zuluaga-Velez,A., Sepulveda-Arias,J.C.	Universidad Tecnologica de Pereira, Laboratorio de Biologia Molecular y Biotecnologia / Facultad de ciencias de la salud
OP539925	OP539925	OP539925.1	MPX/Human/USA/CA-LACPHL-MA00140/2022	2022-08-19	North America	USA			Homo sapiens	2022-09-27		Hemarajata et al		IIb	hMPXV-1	B.1	0.9889102424331546	638.0	603.0	1.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OP743963	OP743963	OP743963.1	MpxV/human/USA/WA-UW-091343/2022	2022-09-XX	North America	USA	Washington		Homo sapiens	2022-10-31	SRR22085307	Sereewit et al		IIb	hMPXV-1	B.1	0.9861923137382168	2723.0	601.0	0.0	good	good	good	good	good		False	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine
OQ330995	OQ330995	OQ330995.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00388/2022	2022-12-10	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al		IIb	hMPXV-1	B.1	0.8935190584608208	19860.0	531.0	0.0	mediocre	good	good	good	good	OPG178:158-205	False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OP743969	OP743969	OP743969.1	MpxV/human/USA/WA-UW-099881/2022	2022-09-XX	North America	USA	Washington		Homo sapiens	2022-10-31	SRR22085343	Sereewit et al		IIb	hMPXV-1	B.1	1.0	0.0	613.0	0.0	good	good	good	good	good		False	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine
ON694336	ON694336	ON694336.1	MPXV/Germany/2022/RKI024	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-07		Brinkmann et al		IIb	hMPXV-1	B.1	0.9996095512882271	77.0	604.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
OQ121027	OQ121027	OQ121027.1	hMpxV/USA/CA-CDPH-1000073/2022	2022-11-06	North America	USA			Homo sapiens	2022-12-26		Probert et al		IIb	hMPXV-1	B.1	0.9776024420792154	2876.0	593.0	1.0	good	good	good	good	good		False	Probert,W., Espinosa,A., Kath,C., Haw,M., Bell,J., Hacker,J.	CDPH, VRDL
OP270476	OP270476	OP270476.1	MPXV/Germany/2022/RKI287	2022-08-XX	Europe	Germany			Homo sapiens	2022-08-22		Brinkmann et al		IIb	hMPXV-1	B.1.13	0.9998428063627928	31.0	610.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Friesen,J., Schaade,L., Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses
OQ054245	OQ054245	OQ054245.1	MPXV_USA_2022_CA0030	2022-09-XX	North America	USA	California		Homo sapiens	2022-12-15	SRR22708525	Gigante et al		IIb	hMPXV-1	B.1	0.9997920987378872	41.0	610.0	0.0	good	good	good	good	good		False	Gigante,C., Ventura,J., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.	CDC, DHCPP-PRB
OP587248	OP587248	OP587248.1	MPXV/Human/USA/CA-CDPH-MPX000019/2022	2022-07-08	North America	USA			Homo sapiens	2022-10-05		Probert et al		IIb	hMPXV-1	B.1	0.9877338255353456	879.0	599.0	0.0	good	good	good	good	good		False	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.	CDPH, VRDL
OP205106	OP205106	OP205106.1	MPXV_UK_2022_9000143	2022-06-16	Europe	United Kingdom			Homo sapiens	2022-08-11		Groves et al		IIb	hMPXV-1	B.1.7	0.9999492923750944	10.0	606.0	0.0	good	good	good	good	good		False	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	UKHSA, Research and Evaluation
OQ330992	OQ330992	OQ330992.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00385/2022	2022-10-21	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al		IIb	hMPXV-1	B.1	0.9884640153339858	1044.0	604.0	0.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OP539931	OP539931	OP539931.1	MPX/Human/USA/CA-LACPHL-MA00146/2022	2022-09-02	North America	USA			Homo sapiens	2022-09-27		Hemarajata et al		IIb	hMPXV-1	B.1	0.9861010400133868	1781.0	601.0	13.0	good	mediocre	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OQ054227	OQ054227	OQ054227.1	MPXV_USA_2022_NC0012	2022-09-XX	North America	USA	North Carolina		Homo sapiens	2022-12-15	SRR22708632	Gigante et al		IIb	hMPXV-1	B.1	0.9997920987378872	41.0	608.0	0.0	good	good	good	good	good		False	Gigante,C., Pettit,D., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Deutsch-Feldman,M., Li,Y.	CDC, DHCPP-PRB
OP748956	OP748956	OP748956.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00270/2022	2022-07-20	North America	USA			Homo sapiens	2022-11-01		Hemarajata et al		IIb	hMPXV-1	B.1.13	0.9747222489845798	3434.0	592.0	0.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OP890543	OP890543	OP890543.1	MPXV/Human/USA/CA-LACPHL-MA00285/2022	2022-09-27	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al		IIb	hMPXV-1	B.1	0.9798386483375504	2427.0	595.0	1.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OQ330985	OQ330985	OQ330985.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00379/2022	2022-10-12	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al		IIb	hMPXV-1	B.1.2	0.9462752714125624	9898.0	592.0	0.0	mediocre	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OP890533	OP890533	OP890533.1	MPXV/Human/USA/CA-LACPHL-MA00299/2022	2022-09-26	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al		IIb	hMPXV-1	B.1	0.9656557256514662	5225.0	577.0	0.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OP680509	OP680509	OP680509.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00231/2022	2022-10-04	North America	USA			Homo sapiens	2022-10-19		Hemarajata et al		IIb	hMPXV-1	B.1	0.98731802301112	1309.0	597.0	0.0	good	good	good	good	good	OPG023:574-661	False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OP442557	OP442557	OP442557.2	hMPX/Human/USA/CA-LACPHL-MA00074/2022	2022-08-19	North America	USA			Homo sapiens	2022-09-15		Hemarajata et al		IIb	hMPXV-1	B.1.11	0.975964585794766	2490.0	596.0	0.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OQ261707	OQ261707	OQ261707.1	ANT-LDSP-ANT-MPX-28354C	2022-10-14	South America	Colombia	Antioquia		Homo sapiens	2023-01-22		Betancur et al		IIb	hMPXV-1	B.1.10	0.9985903280276256	178.0	607.0	0.0	good	good	good	good	good		False	Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia
OP879737	OP879737	OP879737.1	NJ-MPXV-019-rep2	2022-07-01	North America	USA	New Jersey		Homo sapiens	2022-11-22	SRR22321720	Palmateer et al		IIb	hMPXV-1	B.1.2	0.9717051453026992	4010.0	595.0	0.0	good	good	good	good	good		False	Palmateer,N.C.	New Jersey Department of Health, Public Health and Environmental Laboratories
OP764627	OP764627	OP764627.1	MPXV/Germany/2022/RKI569	2022-06-XX	Europe	Germany			Homo sapiens	2022-11-03		Brinkmann et al		IIb	hMPXV-1	B.1	0.9988945737770588	218.0	608.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses
OP205088	OP205088	OP205088.1	MPXV_UK_2022_9000100	2022-06-09	Europe	United Kingdom			Homo sapiens	2022-08-11		Groves et al		IIb	hMPXV-1	B.1	0.9984686297278522	299.0	606.0	3.0	good	good	good	good	good		False	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	UKHSA, Research and Evaluation
ON853669	ON853669	ON853669.1	MPXV/Germany/2022/RKI089	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		IIb	hMPXV-1	B.1.3	0.999234314863926	151.0	608.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
OP820452	OP820452	OP820452.1	hMpxV/Human/USA/IL-RIPHL-MPXV_10003/2022	2022-08-06	North America	USA	Illinois	Cook County IL	Homo sapiens	2022-11-14		Barbian et al		IIb	hMPXV-1	B.1	0.9944170904978982	377.0	612.0	0.0	good	good	good	good	good		False	Barbian,H., Green,S., Kunstman,K., Araujo Perez,F., Bobrovska,S., Hayden,M., Moore,N.	Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)
