strain	accession	date	date_submitted	clade_membership	region	host	country	recency	lineage	author	dinuc_context_fraction	GA_CT_fraction
4061	ON838940	2022-05-20	2022-06-24	IIb	Europe	Homo sapiens	Spain	Older	B.1	"de la Hoz-Sanchez,B., Lopez-Ortiz,M., Gutierrez-Arroyo,A., Roces-Alvarez,P., Lazaro-Peona,F., Dahdouh,E., Bloise,I., Garcia-Rodriguez,J., Mingorance,J."		
8887	ON838939	2022-06-06	2022-06-24	IIb	Europe	Homo sapiens	Spain	Older	B.1	"de la Hoz-Sanchez,B., Lopez-Ortiz,M., Gutierrez-Arroyo,A., Roces-Alvarez,P., Lazaro-Peona,F., Dahdouh,E., Bloise,I., Garcia-Rodriguez,J., Mingorance,J."	1.00	1.00
9000353	OP413717	2022-08-01	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
9000370	OP536751	2022-08-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.3	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	1.00
9000374	OP536754	2022-08-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	1.00
9000378	OP536758	2022-08-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	1.00
9000385	OP536764	2022-09-08	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.10	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
9000390	OP536768	2022-08-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.2	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	1.00
9000395	OP536773	2022-08-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.2	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
9000396	OP536774	2022-09-03	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.7	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	1.00
9000398	OP536776	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.7	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	1.00
9000399	OP536777	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.7	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
9000403	OP536779	2022-09-24	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.3	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	0.80	1.00
9000405	OP536781	2022-09-17	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
9000406	OP536782	2022-09-17	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
9000407	OP536783	2022-09-30	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.7	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	1.00
9000408	OP536784	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.2	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
9000421	OP536795	2022-08-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.3	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."		
9000429	OP536801	2022-09-11	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.7	"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M."	1.00	1.00
