strain_country_date	accession	date	region_coarse	country	strain
MPX_o3VuSh_9000348_UnitedKingdom_2022-08-01	OP415275	2022-08-01	Western Europe	United Kingdom	MPX_o3VuSh_9000348
MpxV/human/CAN/UN-NML-2869/2022_Canada_2022-05-21	ON803428	2022-05-21	North America	Canada	MpxV/human/CAN/UN-NML-2869/2022
MPXV_UK_2022_9000185_UnitedKingdom_2022-06-29	OP205130	2022-06-29	Western Europe	United Kingdom	MPXV_UK_2022_9000185
MPXV/Germany/2022/RKI131_Germany_2022-07-01	ON929086	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI131
MPXV_UK_2022_9000190_UnitedKingdom_2022-07-06	OP205135	2022-07-06	Western Europe	United Kingdom	MPXV_UK_2022_9000190
MPXV_USA_2022_NY003_USA_2022-05-01	ON959134	2022-05-01	North America	USA	MPXV_USA_2022_NY003
MPX/Human/USA/CA-LACPHL-MA00146/2022_USA_2022-09-02	OP539931	2022-09-02	North America	USA	MPX/Human/USA/CA-LACPHL-MA00146/2022
MPX/PT0068/2022_Portugal_2022-07-25	OP245322	2022-07-25	Southern Europe	Portugal	MPX/PT0068/2022
RNA_Slovakia_2022-07-13	OX261748	2022-07-13	Central Europe	Slovakia	RNA
Monkeypox/PT0541/2022_Portugal_2022-08-23	OP555612	2022-08-23	Southern Europe	Portugal	Monkeypox/PT0541/2022
MpxV/human/CAN/UN-NML-3086/2022_Canada_2022-05-25	ON880525	2022-05-25	North America	Canada	MpxV/human/CAN/UN-NML-3086/2022
MPXV_UK_2022_9000068_UnitedKingdom_2022-06-07	OP205074	2022-06-07	Western Europe	United Kingdom	MPXV_UK_2022_9000068
MpxV/human/CAN/UN-NML-3165/2022_Canada_2022-05-29	ON880531	2022-05-29	North America	Canada	MpxV/human/CAN/UN-NML-3165/2022
MPX_96X1Vd_9000218_UnitedKingdom_2022-03-28	OP415196	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000218
MPXV_USA_2022_FL002_USA_2022-05-16	ON676704	2022-05-16	North America	USA	MPXV_USA_2022_FL002
Monkeypox/PT0346/2022_Portugal_2022-05-26	OP414375	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0346/2022
MPXV_USA_2022_NY0022_USA_2022-07-01	OP603008	2022-07-01	North America	USA	MPXV_USA_2022_NY0022
MPXV_USA_2022_PA001_USA_2022-05-01	OP150926	2022-05-01	North America	USA	MPXV_USA_2022_PA001
MpxV/human/CAN/UN-NML-4038/2022_Canada_2022-07-07	OP270028	2022-07-07	North America	Canada	MpxV/human/CAN/UN-NML-4038/2022
Monkeypox/PT0445/2022_Portugal_2022-08-03	OP555526	2022-08-03	Southern Europe	Portugal	Monkeypox/PT0445/2022
Monkeypox/PT0350/2022_Portugal_2022-05-24	OP414379	2022-05-24	Southern Europe	Portugal	Monkeypox/PT0350/2022
Monkeypox/PT0330/2022_Portugal_2022-06-01	OP414361	2022-06-01	Southern Europe	Portugal	Monkeypox/PT0330/2022
MPXV/Germany/2022/RKI188_Germany_2022-08-01	OP215204	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI188
MPXV/Germany/2022/ON/RKI655_Germany_2022-08-01	OQ159050	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI655
hMPXV-CH-38212023/2022_Switzerland_2022-05-30	OP422245	2022-05-30	Western Europe	Switzerland	hMPXV-CH-38212023/2022
MP01CHUAC_Spain_2022-05-01	OP120937	2022-05-01	Southern Europe	Spain	MP01CHUAC
MPXV_USA_2022_MN0007_USA_2022-08-01	OP687934	2022-08-01	North America	USA	MPXV_USA_2022_MN0007
MPXV_USA_2022_PA0008_USA_2022-06-01	OP604522	2022-06-01	North America	USA	MPXV_USA_2022_PA0008
MPXV_USA_2022_HI0003_USA_2022-06-01	OP378703	2022-06-01	North America	USA	MPXV_USA_2022_HI0003
Monkeypox/PT0340/2022_Portugal_2022-05-26	OP414369	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0340/2022
Monkeypox/PT0019/2022_Portugal_2022-05-21	ON649717	2022-05-21	Southern Europe	Portugal	Monkeypox/PT0019/2022
MPXV/Germany/2022/RKI05_Germany_2022-05-01	ON682264	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI05
MPX_hSAaEl_9000356_UnitedKingdom_2022-08-01	OP415281	2022-08-01	Western Europe	United Kingdom	MPX_hSAaEl_9000356
hMPX/Human/USA/CA-LACPHL-MA00047/2022_USA_2022-07-25	OP440555	2022-07-25	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00047/2022
MPXV/Germany/2022/RKI012_Germany_2022-05-01	ON694341	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI012
Slovenia-MPXV-33-2022_Slovenia_2022-07-01	OP605575	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-33-2022
INMI-Pt2_Italy_2022-05-19	ON745215	2022-05-19	Southern Europe	Italy	INMI-Pt2
MPX/Human/USA/CA-LACPHL-MA00256/2022_USA_2022-07-13	OP722515	2022-07-13	North America	USA	MPX/Human/USA/CA-LACPHL-MA00256/2022
Monkeypox/PT0298/2022_Portugal_2022-06-08	OP414332	2022-06-08	Southern Europe	Portugal	Monkeypox/PT0298/2022
Monkeypox/PT0148/2022_Portugal_2022-07-07	OP324465	2022-07-07	Southern Europe	Portugal	Monkeypox/PT0148/2022
hMPXV-IHU00018_France_2022-07-22	OP382495	2022-07-22	Western Europe	France	hMPXV-IHU00018
MpxV/human/CAN/UN-NML-2969/2022_Canada_2022-05-24	ON803444	2022-05-24	North America	Canada	MpxV/human/CAN/UN-NML-2969/2022
MPXV/Germany/2022/RKI06_Germany_2022-05-01	ON682270	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI06
MpxV/human/USA/WA-UW-080292/2022_USA_2022-08-01	OP392536	2022-08-01	North America	USA	MpxV/human/USA/WA-UW-080292/2022
MPXV-CH-38156923/2022_Switzerland_2022-05-24	ON622720	2022-05-24	Western Europe	Switzerland	MPXV-CH-38156923/2022
Slovenia-MPXV-39-2022_Slovenia_2022-08-01	OP605580	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-39-2022
Slovenia-MPXV-16-2022_Slovenia_2022-07-01	OP605558	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-16-2022
Monkeypox/PT0442/2022_Portugal_2022-08-03	OP555524	2022-08-03	Southern Europe	Portugal	Monkeypox/PT0442/2022
MpxV/human/CAN/UN-NML-3080/2022_Canada_2022-05-26	ON880524	2022-05-26	North America	Canada	MpxV/human/CAN/UN-NML-3080/2022
MPXV/Human/USA/UT-UPHL-82200022/2022_USA_2022-05-21	OP743357	2022-05-21	North America	USA	MPXV/Human/USA/UT-UPHL-82200022/2022
MPXV/Germany/2022/RKI593_Germany_2022-10-01	OP837355	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI593
MPXV_UK_2022_9000175_UnitedKingdom_2022-06-24	OP205125	2022-06-24	Western Europe	United Kingdom	MPXV_UK_2022_9000175
MPXV_USA_2022_CA0057_USA_2022-06-01	OP451013	2022-06-01	North America	USA	MPXV_USA_2022_CA0057
Monkeypox/PT0006/2022_Portugal_2022-05-15	ON585033	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0006/2022
Monkeypox/PT0354/2022_Portugal_2022-05-23	OP414381	2022-05-23	Southern Europe	Portugal	Monkeypox/PT0354/2022
Monkeypox/PT0403/2022_Portugal_2022-07-19	OP555499	2022-07-19	Southern Europe	Portugal	Monkeypox/PT0403/2022
Monkeypox/PT0328/2022_Portugal_2022-05-31	OP414360	2022-05-31	Southern Europe	Portugal	Monkeypox/PT0328/2022
hMpxV/UK/LMO-034a/2022_UnitedKingdom_2022-07-14	OP390199	2022-07-14	Western Europe	United Kingdom	hMpxV/UK/LMO-034a/2022
Monkeypox/PT0009/2022_Portugal_2022-05-15	ON585035	2022-05-15	Southern Europe	Portugal	Monkeypox/PT0009/2022
MpxV/human/CAN/UN-NML-2857/2022_Canada_2022-05-19	ON880520	2022-05-19	North America	Canada	MpxV/human/CAN/UN-NML-2857/2022
MpxV/human/CAN/UN-NML-2856/2022_Canada_2022-05-19	ON803426	2022-05-19	North America	Canada	MpxV/human/CAN/UN-NML-2856/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00232/2022_USA_2022-07-15	OP680510	2022-07-15	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00232/2022
MPXV_GSTT_Patient1_UnitedKingdom_2022-05-11	ON645312	2022-05-11	Western Europe	United Kingdom	MPXV_GSTT_Patient1
MPXV/Germany/2022/RKI547_Germany_2022-06-01	OP715827	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI547
Monkeypox/PT0042/2022_Portugal_2022-06-03	ON843180	2022-06-03	Southern Europe	Portugal	Monkeypox/PT0042/2022
MPX_96X1Vd_9000216_UnitedKingdom_2022-03-28	OP415194	2022-03-28	Western Europe	United Kingdom	MPX_96X1Vd_9000216
PEV_case_Belgium_2022-07-29	OP727820	2022-07-29	Western Europe	Belgium	PEV_case
hMpxV/USA/CA-CDPH-1000065/2022_USA_2022-07-12	OQ121019	2022-07-12	North America	USA	hMpxV/USA/CA-CDPH-1000065/2022
Monkeypox/PT0335/2022_Portugal_2022-05-29	OP414365	2022-05-29	Southern Europe	Portugal	Monkeypox/PT0335/2022
Monkeypox/PT0593/2022_Portugal_2022-09-14	OP555660	2022-09-14	Southern Europe	Portugal	Monkeypox/PT0593/2022
Monkeypox/PT0577/2022_Portugal_2022-09-09	OP555648	2022-09-09	Southern Europe	Portugal	Monkeypox/PT0577/2022
PrEV_case_4_Belgium_2022-10-09	OP727823	2022-10-09	Western Europe	Belgium	PrEV_case_4
MpxV/human/CAN/UN-NML-2954/2022_Canada_2022-05-22	ON803440	2022-05-22	North America	Canada	MpxV/human/CAN/UN-NML-2954/2022
Slovenia-MPXV-21-2022_Slovenia_2022-07-01	OP605563	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-21-2022
Monkeypox/PT0303/2022_Portugal_2022-06-07	OP414337	2022-06-07	Southern Europe	Portugal	Monkeypox/PT0303/2022
MPXV_UK_2022_1_UnitedKingdom_2022-05-01	ON619835	2022-05-01	Western Europe	United Kingdom	MPXV_UK_2022_1
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00387/2022_USA_2022-12-05	OQ330979	2022-12-05	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00387/2022
Monkeypox/PT0235/2022_Portugal_2022-06-21	OP324543	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0235/2022
MPXV-USA-IL-IDPH-034_USA_2022-06-16	OP536695	2022-06-16	North America	USA	MPXV-USA-IL-IDPH-034
MPX/human/USA/UT-UPHL-82200022/2022_USA_2022-05-20	ON627808	2022-05-20	North America	USA	MPX/human/USA/UT-UPHL-82200022/2022
MPXV_USA_2022_UT002_USA_2022-05-01	ON676706	2022-05-01	North America	USA	MPXV_USA_2022_UT002
MPXV_USA_2022_IL0045_USA_2022-06-01	OP450994	2022-06-01	North America	USA	MPXV_USA_2022_IL0045
MPXV/Germany/2022/RKI194_Germany_2022-08-01	OP215236	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI194
hMPXV-IHU00013_France_2022-07-20	OP382490	2022-07-20	Western Europe	France	hMPXV-IHU00013
MPX/PT0074/2022_Portugal_2022-07-27	OP245328	2022-07-27	Southern Europe	Portugal	MPX/PT0074/2022
Monkeypox/PT0476/2022_Portugal_2022-08-09	OP555555	2022-08-09	Southern Europe	Portugal	Monkeypox/PT0476/2022
Monkeypox/PT0333/2022_Portugal_2022-05-27	OP414364	2022-05-27	Southern Europe	Portugal	Monkeypox/PT0333/2022
MPXV_UK_2022_9000189_UnitedKingdom_2022-07-06	OP205134	2022-07-06	Western Europe	United Kingdom	MPXV_UK_2022_9000189
Monkeypox/PT0374/2022_Portugal_2022-07-07	OP555470	2022-07-07	Southern Europe	Portugal	Monkeypox/PT0374/2022
MPXV/Germany/2022/RKI161_Germany_2022-07-01	ON959174	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI161
MPXV/Germany/2022/RKI224_Germany_2022-08-01	OP215220	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI224
Slovenia-MPXV-17-2022_Slovenia_2022-07-01	OP605559	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-17-2022
Monkeypox/PT0222/2022_Portugal_2022-06-24	OP324532	2022-06-24	Southern Europe	Portugal	Monkeypox/PT0222/2022
Slovenia-MPXV-29-2022_Slovenia_2022-07-01	OP605571	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-29-2022
Monkeypox/PT0343/2022_Portugal_2022-05-26	OP414372	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0343/2022
MPXV/Germany/2022/RKI03_Germany_2022-05-01	ON682263	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI03
INS-MPXV-0016-H1_Colombia_2022-07-29	OP295383	2022-07-29	South America	Colombia	INS-MPXV-0016-H1
MPXV_UK_2022_4_UnitedKingdom_2022-05-16	ON619838	2022-05-16	Western Europe	United Kingdom	MPXV_UK_2022_4
CVR_MPXV1c_UnitedKingdom_2022-05-15	ON808415	2022-05-15	Western Europe	United Kingdom	CVR_MPXV1c
hMPXV-IHU00007_France_2022-07-06	OP382484	2022-07-06	Western Europe	France	hMPXV-IHU00007
Slovenia-MPXV-24-2022_Slovenia_2022-07-01	OP605566	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-24-2022
MPXV_UK_2022_2_UnitedKingdom_2022-05-16	ON619836	2022-05-16	Western Europe	United Kingdom	MPXV_UK_2022_2
MPX_VghSe2_9000318_UnitedKingdom_2022-08-01	OP415259	2022-08-01	Western Europe	United Kingdom	MPX_VghSe2_9000318
MPXV/Germany/2022/RKI123_Germany_2022-07-01	ON929078	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI123
MPXV-USA-IL-IDPH-036_USA_2022-06-17	OP536697	2022-06-17	North America	USA	MPXV-USA-IL-IDPH-036
MPXV_UK_2022_9000108_UnitedKingdom_2022-06-14	OP205096	2022-06-14	Western Europe	United Kingdom	MPXV_UK_2022_9000108
RNA_qepqr7_Slovakia_2022-08-26	OX336004	2022-08-26	Central Europe	Slovakia	RNA_qepqr7
Monkeypox/PT0259/2022_Portugal_2022-06-19	OP414300	2022-06-19	Southern Europe	Portugal	Monkeypox/PT0259/2022
Monkeypox/PT0232/2022_Portugal_2022-06-21	OP324540	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0232/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00260/2022_USA_2022-10-17	OP748946	2022-10-17	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00260/2022
Slovenia-MPXV-11-2022_Slovenia_2022-07-01	OP605554	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-11-2022
MPXV_USA_2022_TN0007_USA_2022-07-01	OP752120	2022-07-01	North America	USA	MPXV_USA_2022_TN0007
Monkeypox/PT0437/2022_Portugal_2022-08-02	OP555521	2022-08-02	Southern Europe	Portugal	Monkeypox/PT0437/2022
Monkeypox/PT0305/2022_Portugal_2022-06-06	OP414339	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0305/2022
MpxV/human/CAN/UN-NML-2886/2022_Canada_2022-05-20	ON803434	2022-05-20	North America	Canada	MpxV/human/CAN/UN-NML-2886/2022
MPXV/Human/USA/CA-LACPHL-MA00358/2022_USA_2022-11-05	OP920696	2022-11-05	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00358/2022
Monkeypox/PT0297/2022_Portugal_2022-06-08	OP414331	2022-06-08	Southern Europe	Portugal	Monkeypox/PT0297/2022
MpxV/human/USA/WA-UW-099881/2022_USA_2022-09-30	OP743969	2022-09-30	North America	USA	MpxV/human/USA/WA-UW-099881/2022
MPXV/Germany/2022/RKI262_Germany_2022-08-01	OP215281	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI262
MPXV/Human/USA/CA-LACPHL-MA00354/2022_USA_2022-10-16	OP920692	2022-10-16	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00354/2022
MPX/2022/Canada/AB1_Canada_2022-05-31	ON736420	2022-05-31	North America	Canada	MPX/2022/Canada/AB1
MPXV/Germany/2022/RKI401_Germany_2022-09-30	OP524002	2022-09-30	Western Europe	Germany	MPXV/Germany/2022/RKI401
hMPXV-IHU00017_France_2022-07-22	OP382494	2022-07-22	Western Europe	France	hMPXV-IHU00017
Monkeypox/PT0201/2022_Portugal_2022-06-27	OP324512	2022-06-27	Southern Europe	Portugal	Monkeypox/PT0201/2022
MpxV/human/CAN/UN-NML-3486/2022_Canada_2022-06-08	ON880518	2022-06-08	North America	Canada	MpxV/human/CAN/UN-NML-3486/2022
MPX/UZ_REGA_2/Belgium/2022_Belgium_2022-05-22	ON622713	2022-05-22	Western Europe	Belgium	MPX/UZ_REGA_2/Belgium/2022
MPXV/Germany/2022/RKI138_Germany_2022-07-01	ON959155	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI138
MPX/PT0080/2022_Portugal_2022-07-26	OP245333	2022-07-26	Southern Europe	Portugal	MPX/PT0080/2022
MpxV/human/CAN/UN-NML-3913/2022_Canada_2022-06-28	OP062233	2022-06-28	North America	Canada	MpxV/human/CAN/UN-NML-3913/2022
hMpxV/Human/USA/IL-RIPHL-MPXV_10005/2022_USA_2022-09-07	OP820454	2022-09-07	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10005/2022
MpxV/human/CAN/UN-NML-3137/2022_Canada_2022-05-29	ON880509	2022-05-29	North America	Canada	MpxV/human/CAN/UN-NML-3137/2022
MPXV/Germany/2022/ON/RKI505_Germany_2022-08-01	OP689658	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI505
hMPX/USA/CA-LACPHL-MA00170/2022_USA_2022-09-20	OP580603	2022-09-20	North America	USA	hMPX/USA/CA-LACPHL-MA00170/2022
MPXV/Germany/2022/RKI390_Germany_2022-09-01	OP523992	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI390
INMI-Pt3_Italy_2022-05-19	ON780016	2022-05-19	Southern Europe	Italy	INMI-Pt3
MPX/Human/USA/CA-LACPHL-MA00136/2022_USA_2022-08-08	OP539921	2022-08-08	North America	USA	MPX/Human/USA/CA-LACPHL-MA00136/2022
Monkeypox/PT0176/2022_Portugal_2022-07-01	OP324491	2022-07-01	Southern Europe	Portugal	Monkeypox/PT0176/2022
Monkeypox/PT0032/2022_Portugal_2022-05-26	ON843168	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0032/2022
Monkeypox/PT0290/2022_Portugal_2022-06-14	OP414325	2022-06-14	Southern Europe	Portugal	Monkeypox/PT0290/2022
MPXV/Human/USA/CA-LACPHL-MA00359/2022_USA_2022-11-05	OP920697	2022-11-05	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00359/2022
Monkeypox/PT0349/2022_Portugal_2022-05-26	OP414378	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0349/2022
MPXV_UK_2022_9000062_UnitedKingdom_2022-06-05	OP205068	2022-06-05	Western Europe	United Kingdom	MPXV_UK_2022_9000062
Monkeypox/PT0458/2022_Portugal_2022-08-04	OP555539	2022-08-04	Southern Europe	Portugal	Monkeypox/PT0458/2022
MPXV_USA_2022_IL0034_USA_2022-06-01	OP303784	2022-06-01	North America	USA	MPXV_USA_2022_IL0034
MPXV_USA_2022_CO0002_USA_2022-05-01	OP185715	2022-05-01	North America	USA	MPXV_USA_2022_CO0002
MPXV/Germany/2022/RKI071_Germany_2022-06-01	ON853657	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI071
Monkeypox/PT0182/2022_Portugal_2022-06-27	OP324497	2022-06-27	Southern Europe	Portugal	Monkeypox/PT0182/2022
MpxV/human/CAN/UN-NML-3141/2022_Canada_2022-05-27	ON880527	2022-05-27	North America	Canada	MpxV/human/CAN/UN-NML-3141/2022
MPXV_UK_2022_9000173_UnitedKingdom_2022-05-26	OP205124	2022-05-26	Western Europe	United Kingdom	MPXV_UK_2022_9000173
MPXV-CH-38134631/2022_Switzerland_2022-05-19	ON595760	2022-05-19	Western Europe	Switzerland	MPXV-CH-38134631/2022
MPXV/Germany/2022/RKI07_Germany_2022-05-01	ON682269	2022-05-01	Western Europe	Germany	MPXV/Germany/2022/RKI07
Monkeypox/PT0047/2022_Portugal_2022-06-02	ON843177	2022-06-02	Southern Europe	Portugal	Monkeypox/PT0047/2022
Monkeypox/PT0029/2022_Portugal_2022-05-27	ON843173	2022-05-27	Southern Europe	Portugal	Monkeypox/PT0029/2022
INMI-Pt1_Italy_2022-05-18	ON614676	2022-05-18	Southern Europe	Italy	INMI-Pt1
MPX_Qjmiyl_9000330_UnitedKingdom_2022-08-01	OP415268	2022-08-01	Western Europe	United Kingdom	MPX_Qjmiyl_9000330
MPX/PT0128/2022_Portugal_2022-07-12	OP245361	2022-07-12	Southern Europe	Portugal	MPX/PT0128/2022
Monkeypox/PT0367/2022_Portugal_2022-06-27	OP555464	2022-06-27	Southern Europe	Portugal	Monkeypox/PT0367/2022
Monkeypox/PT0234/2022_Portugal_2022-06-20	OP324542	2022-06-20	Southern Europe	Portugal	Monkeypox/PT0234/2022
Monkeypox/PT0309/2022_Portugal_2022-06-06	OP414343	2022-06-06	Southern Europe	Portugal	Monkeypox/PT0309/2022
Monkeypox/PT0158/2022_Portugal_2022-07-07	OP324475	2022-07-07	Southern Europe	Portugal	Monkeypox/PT0158/2022
Monkeypox/PT0174/2022_Portugal_2022-06-30	OP324489	2022-06-30	Southern Europe	Portugal	Monkeypox/PT0174/2022
