strain	accession	genbank_accession_rev	strain_original	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	authors	institution
ON694330	ON694330	ON694330.1	MPXV/Germany/2022/RKI019	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-07		Brinkmann et al		IIb	hMPXV-1	B.1.14	0.9995537729008312	88.0	609.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
OP920684	OP920684	OP920684.1	MPXV/Human/USA/CA-LACPHL-MA00346/2022	2022-10-05	North America	USA			Homo sapiens	2022-11-30		Hemarajata et al		IIb	hMPXV-1	B.1	0.9813446647972456	2982.0	610.0	1.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
ON808417	ON808417	ON808417.1	CVR_MPXV1e	2022-05-15	Europe	United Kingdom			Homo sapiens	2022-06-21		Filipe et al		IIb	hMPXV-1	B.1	1.0	0.0	604.0	0.0	good	good	good	good	good		False	Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C.	
ON755249	ON755249	ON755249.2	MPXV/Germany/2022/RKI043	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-14		Brinkmann et al		IIb	hMPXV-1	B.1.7	0.997317566642496	529.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON959159	ON959159	ON959159.1	MPXV/Germany/2022/RKI144	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-11		Brinkmann et al		IIb	hMPXV-1	B.1	1.0	0.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses
ON755039	ON755039	ON755039.1	MPXV_IRBA22-11	2022-05-19	Europe	France			Homo sapiens	2022-06-14		Jarjaval et al		IIb	hMPXV-1	B.1	0.9923025825393365	0.0	600.0	0.0	good	good	good	good	good		False	Jarjaval,F., Nolent,F., Criqui,A., Chapus,C., Lamer,O., Ferraris,O., Gorge,O.	
OP890545	OP890545	OP890545.1	MPXV/Human/USA/CA-LACPHL-MA00287/2022	2022-10-04	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al		IIb	hMPXV-1	B.1	0.9811012681976988	2178.0	599.0	1.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
OP650032	OP650032	OP650032.1	MPXV22/human/USA-OK-277	2022-09-07	North America	USA	Oklahoma		Homo sapiens	2022-10-17		Chapman et al		IIb	hMPXV-1	B.1.2	1.0	0.0	611.0	0.0	good	good	good	good	good		False	Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., O'Dell,J.X., Mannell,M., Wiley,M.R., Cross,S.T.	University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health
OP205127	OP205127	OP205127.1	MPXV_UK_2022_9000178	2022-06-27	Europe	United Kingdom			Homo sapiens	2022-08-11		Groves et al		IIb	hMPXV-1	B.1	0.9999949292375094	0.0	610.0	1.0	good	good	good	good	good		False	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	UKHSA, Research and Evaluation
OP920678	OP920678	OP920678.1	MPXV/Human/USA/CA-LACPHL-MA00340/2022	2022-10-23	North America	USA			Homo sapiens	2022-11-30		Hemarajata et al		IIb	hMPXV-1	B.1	0.990253994493152	373.0	602.0	1.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health
