# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 09 17:15:22 PST 2022 [seed=1668042916828]
# -threads 10 -save_every 2000000 -beagle 235hmpxv_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-34628.4453608231	-211.24866903002518	-34417.19669179307	2.8492617868239503	2019.9479984871487	20.075268382615608	1.0	0.1	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	6.0E-5	5.999999999999997E-5	-34417.19669179307	0.0	-210.0750684653388
25000	-30588.698344835375	-546.3655399403001	-30042.332804895075	1.0437923988927584	2021.7534678750799	33.48467845268694	31.412123140309664	7.916214523603276	0.20117137910594948	38.84963995115993	0.3304097662568141	0.16536818620446414	0.17063403410027428	0.33358801343844763	0.0033014130500084145	8.472013148267864E-4	8.472013148267854E-4	-30042.332804895075	0.0	-529.7218279789406
50000	-30409.17494435863	-546.9027113141317	-29862.2722330445	0.7818970600961134	2022.0153632138765	33.158122443071946	20.734361546234894	11.531525676432636	0.3073113174853698	57.010295912530914	0.3327331783562586	0.1666858394272164	0.16672636516722847	0.333854617049297	0.0695410884901493	8.114245587012967E-4	8.114245587012961E-4	-29862.2722330445	0.0	-525.8431533706149
75000	-30257.319792491646	-522.8916989696355	-29734.42809352201	0.7068609114300843	2022.0903993625425	32.74401344268151	30.786607288996038	16.81994163803692	0.3105939316332906	32.98489741781239	0.3391477702485318	0.1680812885276121	0.167553004913195	0.32521793631066154	0.028399982237291024	7.884261465122273E-4	7.884261465122276E-4	-29734.42809352201	0.0	-497.74782050442565
100000	-30196.92534552295	-536.2314400277855	-29660.69390549516	0.6887822316552098	2022.1084780423173	34.07503698787817	32.995812276573886	18.966559768606388	0.33678016435163594	26.320384385266134	0.33380583082044984	0.16336040995271495	0.16915933100695596	0.3336744282198795	0.025476236818212875	7.332900540249514E-4	7.332900540249517E-4	-29660.69390549516	0.0	-509.447453426312
125000	-30134.101345438434	-555.9772494067067	-29578.124096031726	0.7127858001604285	2022.0844744738122	37.264597730646194	36.82468837908227	19.16597612836216	0.34036370383293235	25.341267595749613	0.3331513792511706	0.1675587661077811	0.16711030525415493	0.3321795493868936	0.011265908124817694	6.415182797613923E-4	6.415182797613935E-4	-29578.124096031726	0.0	-529.0050121673333
150000	-30111.69729167827	-557.318352163278	-29554.37893951499	0.7205301121057659	2022.0767301618669	36.943160551046944	39.643797813456494	18.984302427807986	0.3289809711270051	37.06476933896762	0.3266585835089491	0.16394565130920724	0.17328278666450786	0.33611297851733607	0.04801947509441614	6.097161102781664E-4	6.097161102781664E-4	-29554.37893951499	0.0	-529.410757678659
175000	-30001.416161959423	-581.5908092250197	-29419.825352734402	0.7315608615468483	2022.0656994124258	39.5607511771414	25.854750629122243	20.95273531387548	0.38896475341972275	27.181180045884467	0.3331961770613319	0.17034586610185404	0.16713443242724813	0.32932352440956614	0.03927075003076688	5.575762058700464E-4	5.575762058700467E-4	-29419.825352734402	0.0	-552.9576720308168
200000	-29971.7058029659	-591.9387573696712	-29379.76704559623	0.7053944780460991	2022.0918657959264	39.605570848834965	37.43591039112484	21.168744114477946	0.37869249682309025	38.586510346860244	0.3314383904109998	0.16942973120166918	0.16532489537860182	0.33380698300872946	0.04494546323638249	5.807937576653718E-4	5.80793757665372E-4	-29379.76704559623	0.0	-561.8021408087486
225000	-29958.757715364893	-593.4393293119817	-29365.31838605291	0.7133092633851659	2022.0839510105875	40.61001897813001	25.920654599524042	22.234460323650225	0.4101281650814434	27.652587255064642	0.3335097652555543	0.16856032465848023	0.16655433456762642	0.3313755755183392	0.027182533319565886	5.565382509849425E-4	5.565382509849435E-4	-29365.31838605291	0.0	-563.5034706507513
